"","MeasureTypeDescription","MeasureClassDescription","MeasureClassDetailDescription","MeasureDescription","AuditMeasureUserSuppliedDescription"
"231","Energy Efficiency Measure","Heating","Boiler Equipment","Other","Boiler Optimization - Raise burner closer to heating tubes and fill the fire box with brick"
"232","Energy Efficiency Measure","Heating","Other","Other","Comprehensive HVAC Upgrade"
"233","Energy Efficiency Measure","Building Envelope","Insulation","Other","Building Shell-Add insulation to wall areas"
"234","Energy Efficiency Measure","Lighting","Lamp Modification","Other","Install T-8 Lighting w/Reflectors & Controls."
"235","Energy Efficiency Measure","Lighting","Lamp Modification","Other","Install T-8 Lamps, Electronic Ballasts & Controls."
"236","Energy Efficiency Measure","Lighting","Lamp Modification","Other","Lighting-Install T-8 lamps and electronic ballasts"
"237","Energy Efficiency Measure","Building Envelope","Insulation","Other","Building Shell-Add insulation to attic and roof areas"
"238","Energy Efficiency Measure","Ventilation/ Distribution","Other","Other","Replace eight Unit Ventilators with new Unit Ventilators"
"239","Energy Efficiency Measure","Building Envelope","Doors","Other","Door sealing and weatherization.  Costs are based on actual costs provided by School District.  ODOE estimated savings."
"240","Energy Efficiency Measure","Ventilation/ Distribution","Controls","Other","Supply Fan Static Pressure Reset"
"241","Energy Efficiency Measure","Cooling","Other","Other","Replace Existing Cooling Tower with a Newer, More Efficient Cooling Tower"
"242","Energy Efficiency Measure","Ventilation/ Distribution","Distribution System","Other","Gymnasium - Demand Controlled Ventilation"
"243","Energy Efficiency Measure","Heating","Other","Other","HVAC system upgrades (DDC retrofit, air balancing, boiler replacement)"
"244","Energy Efficiency Measure","Heating","Boiler Equipment","Other","Install Full Condensing Boiler"
"245","Energy Efficiency Measure","Heating","Distribution System","Other","Install VFDs on HW Pump Motors"
"246","Energy Efficiency Measure","Ventilation/ Distribution","Other","Other","Install VFDs on MZU Fans"
"247","Energy Efficiency Measure","Building Envelope","Windows","Other","Window replacement (Incremental cost)"
"248","Energy Efficiency Measure","Heating","Distribution System","Other","Replace Steam Traps"
"249","Energy Efficiency Measure","Building Envelope","Doors","Other","Door Seal Replacement"
"250","Energy Efficiency Measure","Ventilation/ Distribution","Distribution System","Seal ducts to prevent air leakage.",""
"251","Energy Efficiency Measure","Building Envelope","Windows","Other","Install low-e double pane windows"
"252","Energy Efficiency Measure","Heating","Other","Other","HVAC system upgrade (steam valves, steam traps, OA dampers, filters)"
"253","Energy Efficiency Measure","Building Envelope","Windows","Other","Window Replacement (Incremental cost)"
"254","Energy Efficiency Measure","Heating","Other","Other","Replace (13) Unit Ventilators"
"255","Energy Efficiency Measure","Lighting","Fixture Modification","Other","Upgrade Interior Lighting in (4) Rooms"
"256","Energy Efficiency Measure","Heating","Distribution System","Other","Install Steam Heat Exchanger Insulation"
"257","Energy Efficiency Measure","Ventilation/ Distribution","Distribution System","Insulate ducts.",""
"258","Energy Efficiency Measure","Heating","Boiler Equipment","Other","Replace Existing Steam Boiler with Newer, More Efficient Steam Boiler"
"259","Energy Efficiency Measure","Ventilation/ Distribution","Other","Other","Install a VFD in AHU-1"
"260","Energy Efficiency Measure","Building Envelope","Doors","Other","Upgrade weather stripping on door jambs and threshold."
"261","Energy Efficiency Measure","Lighting","Controls","Install photocells on exterior lighting.",""
"262","Energy Efficiency Measure","Ventilation/ Distribution","Other","Other","INstall 1/3 2/3 Steam Valves on AHUs"
"263","Energy Efficiency Measure","Building Envelope","Windows","Other","Repair caulking"
"264","Energy Efficiency Measure","Ventilation/ Distribution","Distribution System","Other","HVAC system upgrades (VFD replacement, OA damper, air balance, hydronic balance)"
"265","Energy Efficiency Measure","Building Envelope","Insulation","Other","Window replacement. (Incremental cost)"
"266","Energy Efficiency Measure","Building Envelope","Windows","Other","Window replacement. (Incremental cost)"
"267","Energy Efficiency Measure","Ventilation/ Distribution","Other","Other","Replace Seven Unit Ventilators with New Unit Ventilators with Internal Direct Digital Controls. Effect of increased ventilation is captured in O&M 1."
"268","Energy Efficiency Measure","Building Envelope","Windows","Other","Replace existing windows.  (Incremental cost)"
"269","Energy Efficiency Measure","Building Envelope","Windows","Other","Replace windows (Incremental Costs)"
"270","Energy Efficiency Measure","Lighting","Fixture Modification","Other","Replace T12 fixtures with T8 fixtures (ARRA)"
"271","Energy Efficiency Measure","Heating","Other","Other","Install duel fuel heat pumps in place of Gas Pak HVAC units"
"272","Energy Efficiency Measure","Lighting","Fixture Modification","Other","Replace T12 fixtures with T8 fixtures  (ARRA)"
"273","Energy Efficiency Measure","Heating","Other","Other","Install variable frequency drives on HVAC fans"
"274","Energy Efficiency Measure","Lighting","Fixture Modification","Other","Replace Metal Halide with Linear Fluorescent Fixtures"
"275","Energy Efficiency Measure","Lighting","Fixture Modification","Other","(ARRA) Replace T12 and Incandescent fixtures with T8 lamps and ballasts and CFLs. Replace Gym MH w/linear flourescent fixtures."
"276","Energy Efficiency Measure","Heating","Boiler Equipment","Other","Boiler & heating system upgrade from steam to hot water"
"277","Energy Efficiency Measure","Lighting","Fixture Modification","Other","(ARRA) Replace T12 and Incandescent fixtures with T8 lamps and ballasts and CFLs"
"278","Energy Efficiency Measure","Heating","Other","Other","Replace Oil Furnace w/ Propane Furnace in Main Bldg"
"279","Energy Efficiency Measure","Heating","Distribution System","Other","EEM #1 - Steam System Improvements by installing boiler sequencer, revise steam pressure controls, repair/replace steam traps, provide new steam control valves for HVAC equipment, etc."
"280","Energy Efficiency Measure","Building Envelope","Windows","Other","Upgrade Windows to Dbl Pane, Low E, Argon Filled"
"281","Operation & Maintenance Measure","Lighting","Other","Other","Replace burned out ballasts with more efficient and lower wattage T8 electronic ballasts and lamps."
"282","Energy Efficiency Measure","Lighting","Lamp Modification","Other","Upgrade exterior MH pole lighting to LED fixtures"
"283","Energy Efficiency Measure","Lighting","Lamp Modification","Other","Retrofit exterior MH area fixtures with LED."
"284","Energy Efficiency Measure","Lighting","Fixture Modification","Other","Replace exterior fluorescent wall packs with LED fixtures"
"285","Energy Efficiency Measure","Lighting","Fixture Modification","Other","Upgrade Gym and Commons Lighting to Fluorescent"
"286","Energy Efficiency Measure","Lighting","Fixture Modification","Other","Replace exterior metal halide wall packs with LED fixtures"
"287","Energy Efficiency Measure","Lighting","Controls","Other","Add Occupancy Sensors Throughout the School"
"288","Energy Efficiency Measure","Lighting","Lamp Modification","Other","Upgrade Remaining T-12s to T-8s"
"289","Energy Efficiency Measure","Lighting","Fixture Modification","Other","Upgrade media center metal halide lighting to T8 fixtures"
"290","Energy Efficiency Measure","Lighting","Fixture Modification","Other","Replace exterior metal halide wallpacks with LED fixtures"
"291","Energy Efficiency Measure","Ventilation/ Distribution","Other","Other","Install DCV on Gymnasium Air Handler"
"292","Energy Efficiency Measure","Heating","Distribution System","Other","Replace leaking steam isolation valves on rooftop AHUs."
"293","Energy Efficiency Measure","Heating","Distribution System","Other","Replace Failed Steam Traps"
"294","Energy Efficiency Measure","Lighting","Fixture Modification","Other","Replace Balcony Gymnasium Metal Halide Fixtures with T-5 Fixtures"
"295","Energy Efficiency Measure","Lighting","Fixture Modification","Other","Replace Computer Lab T-12 Lighting with T-8"
"296","Energy Efficiency Measure","Ventilation/ Distribution","Other","Other","Retrofit MZU-1 & 2 to Variable Air Volume"
"297","Energy Efficiency Measure","Lighting","Fixture Modification","Other","Replace gymnasium MH fixtures w/ T5HO fixtures"
"298","Energy Efficiency Measure","Ventilation/ Distribution","Other","Other","Add CO2 Demand Control Ventilation"
